    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
   137     RDT_MEMSTRESS        YM_SEL_CLEAR                        2023-10-05 02:40:25            2023-10-05 02:40:26          00:00:01        pass   
   138     RDT_FIO_TEST         YM3_FIO_START                       2023-10-05 02:40:26            2023-10-05 02:41:43          00:01:17        pass   
   139     RDT_FIO_TEST         YM3_MPRIME                          2023-10-05 02:41:43            2023-10-05 03:21:48          00:40:05        pass   
   140     RDT_FIO_TEST         YM3_FIO_END                         2023-10-05 03:21:48            2023-10-05 03:21:49          00:00:01        pass   
   141     RDT_FIO_TEST         YM3_SEL_CHECK                       2023-10-05 03:21:49            2023-10-05 03:21:49          00:00:01        pass   
   142     RDT_FIO_TEST         YM3_DMESG_CHECK                     2023-10-05 03:21:49            2023-10-05 03:21:50          00:00:01        pass   
   143     RDT_FIO_TEST         YM3_MESSAGES_CHECK                  2023-10-05 03:21:50            2023-10-05 03:21:50          00:00:01        pass   
   144     RDT_FIO_TEST         NETLAKE_SDR_CHECK                   2023-10-05 03:21:50            2023-10-05 03:21:52          00:00:02        pass   
   145     RDT_FIO_TEST         YM3_MCE_CHECK                       2023-10-05 03:21:52            2023-10-05 03:21:52          00:00:01        pass   
   146     RDT_FIO_TEST         YM_SEL_CLEAR                        2023-10-05 03:21:52            2023-10-05 03:21:53          00:00:01        pass   
   147     RDT_IPERF            YM3_IPERF                           2023-10-05 03:21:58            2023-10-05 03:59:14          00:37:16        pass   
   148     RDT_IPERF            YM3_SEL_CHECK                       2023-10-05 03:59:38            2023-10-05 03:59:48          00:00:10        pass   
   149     RDT_IPERF            YM3_DMESG_CHECK                     2023-10-05 03:59:49            2023-10-05 03:59:49          00:00:01        pass   
   150     RDT_IPERF            YM3_MESSAGES_CHECK                  2023-10-05 03:59:49            2023-10-05 03:59:50          00:00:01        pass   
   151     RDT_IPERF            NETLAKE_SDR_CHECK                   2023-10-05 03:59:50            2023-10-05 03:59:51          00:00:01        pass   
   152     RDT_IPERF            YM3_MCE_CHECK                       2023-10-05 03:59:51            2023-10-05 03:59:52          00:00:01        pass   
   153     RDT_IPERF            YM_SEL_CLEAR                        2023-10-05 03:59:52            2023-10-05 03:59:53          00:00:01        pass   
   154     RDT_FW_CHECK         NETLAKE_ME_VER_CHECK                2023-10-05 03:59:53            2023-10-05 03:59:53          00:00:01        pass   
   155     RDT_FW_CHECK         NETLAKE_CPLD_CHECK                  2023-10-05 03:59:53            2023-10-05 03:59:53          00:00:01        pass   
   156     RDT_FW_CHECK         NETLAKE_VR_CHECK                    2023-10-05 03:59:53            2023-10-05 03:59:54          00:00:01        pass   
   157     RDT_FW_CHECK         BIOS_CHECK                          2023-10-05 03:59:54            2023-10-05 03:59:54          00:00:01        pass   
   158     RDT_FW_CHECK         YM3_BMC_VER_CHECK                   2023-10-05 03:59:54            2023-10-05 03:59:55          00:00:01        pass   
   159     RDT_FW_CHECK         YM3_TPM_PCR_CHECK                   2023-10-05 03:59:55            2023-10-05 03:59:56          00:00:01        pass   
   160     RDT_FW_CHECK         YM3_BMC_TPM_VER_CHECK               2023-10-05 03:59:56            2023-10-05 03:59:56          00:00:01        pass   
   161     RDT_FW_CHECK         NETLAKE_ETHTOOL_CHECK               2023-10-05 03:59:56            2023-10-05 03:59:56          00:00:01        pass   
   162     RDT_FW_CHECK         YM3_NVME_SSD_CONFIG_CHECK           2023-10-05 03:59:56            2023-10-05 03:59:58          00:00:02        pass   
   163     RDT_FW_CHECK         YM3_NIC_FW_CHECK                    2023-10-05 03:59:58            2023-10-05 03:59:59          00:00:01        pass   
   164     RDT_FW_CHECK         YM35_FRU_CHECK_L10                  2023-10-05 03:59:59            2023-10-05 04:00:00          00:00:01        pass   
   165     RDT_CONFIG_CHECK     NETLAKE_ETHTOOL_CHECK               2023-10-05 04:00:00            2023-10-05 04:00:00          00:00:01        pass   
   166     RDT_CONFIG_CHECK     YM3_MAC_ETH_CHECK                   2023-10-05 04:00:00            2023-10-05 04:00:02          00:00:02        pass   
   167     RDT_CONFIG_CHECK     CWC_PCIE_DEVICES_CHECK              2023-10-05 04:00:02            2023-10-05 04:00:03          00:00:01        pass   
   168     RDT_CONFIG_CHECK     MEMORY_CONFIG_CHECK                 2023-10-05 04:00:03            2023-10-05 04:00:03          00:00:01        pass   
   169     RDT_CONFIG_CHECK     NETLAKE_I2C_BUS_SCAN                2023-10-05 04:00:03            2023-10-05 04:00:07          00:00:04        pass   
   170     RDT_CONFIG_CHECK     NETLAKE_HPET_CHECK                  2023-10-05 04:00:07            2023-10-05 04:00:07          00:00:01        pass   
   171     RDT_CONFIG_CHECK     NETLAKE_PIC_CHECK                   2023-10-05 04:00:07            2023-10-05 04:00:08          00:00:01        pass   
   172     RDT_CONFIG_CHECK     NETLAKE_DMI_TEST                    2023-10-05 04:00:08            2023-10-05 04:00:08          00:00:01        pass   
   173     RDT_CONFIG_CHECK     CPU_CONFIG_CHECK                    2023-10-05 04:00:08            2023-10-05 04:00:08          00:00:01        pass   
   174     RDT_CONFIG_CHECK     NETLAKE_SOL_CHECK                   2023-10-05 04:00:08            2023-10-05 04:08:12          00:08:04        pass   
   175     RDT_CONFIG_CHECK     YM3_NVME_SSD_CONFIG_CHECK           2023-10-05 04:08:12            2023-10-05 04:08:13          00:00:01        pass   
